,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
597,Yazd,IR,78.91,broken clouds,31.8972,54.3675,Mozaffar Traditional Hotel
599,Kendari,ID,74.34,broken clouds,-3.945,122.4989,Hotel Wixel
601,Bongandanga,CD,76.91,overcast clouds,1.5,21.05,
602,Kroya,ID,76.32,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
605,Saltillo,MX,78.15,clear sky,25.4167,-101.0,City Express Saltillo Sur
614,Sinnamary,GF,77.16,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
615,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
620,Bafq,IR,78.26,overcast clouds,31.6128,55.4107,Alamdar Hotel
624,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
627,Rocha,UY,78.58,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
629,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
637,Pishin,PK,71.02,clear sky,30.5803,66.9961,City Hotel Pishin
638,Fontem,CM,70.75,light rain,5.4685,9.8818,Vista Palace Hotel
644,Razole,IN,76.64,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
651,Mindelo,CV,74.75,few clouds,16.8901,-24.9804,Hotel Gaudi
656,San Isidro,PE,74.5,few clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
658,Iquique,CL,70.41,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
662,Sakakah,SA,76.57,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
665,Kampong Chhnang,KH,78.33,overcast clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
667,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
671,Katobu,ID,74.77,overcast clouds,-4.9408,122.5276,La Ode Husein
673,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
