,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
121,Cayenne,GF,4.9333,-52.3333,84.24,1,75,13.8,broken clouds
122,Barcelona,ES,41.3888,2.159,71.83,42,0,6.91,clear sky
123,Vostok,RU,46.4856,135.8833,16.61,88,14,4.27,few clouds
124,Cape Town,ZA,-33.9258,18.4232,61.27,70,0,18.41,clear sky
125,Yamethin,MM,20.4333,96.15,80.94,56,18,6.91,few clouds
126,Hofn,IS,64.2539,-15.2082,33.42,50,99,11.07,overcast clouds
127,Port Macquarie,AU,-31.4333,152.9167,65.89,83,100,9.6,overcast clouds
128,Jian,CN,27.1172,114.9793,63.88,63,0,1.86,clear sky
129,Bergama,TR,39.1207,27.1805,56.19,90,2,5.7,clear sky
130,Concordia,AR,-31.393,-58.0209,75.78,77,100,1.99,overcast clouds
131,Provideniya,RU,64.3833,-173.3,-2.78,84,100,2.48,overcast clouds
132,Caravelas,BR,-17.7125,-39.2481,81.61,72,79,5.19,broken clouds
133,Coihaique,CL,-45.5752,-72.0662,53.55,66,40,3.44,scattered clouds
134,Chara,RU,56.9064,118.2631,17.85,90,89,2.46,overcast clouds
135,Le Port,RE,-20.9373,55.2919,78.8,70,46,3.69,scattered clouds
136,Nizhniy Kuranakh,RU,58.8353,125.4869,7.2,96,100,2.37,overcast clouds
137,Lebu,CL,-37.6167,-73.65,60.85,86,71,5.84,broken clouds
138,Poum,NC,-20.2333,164.0167,81.43,82,100,18.25,overcast clouds
139,Victor Harbor,AU,-35.5667,138.6167,59.92,87,0,4.92,clear sky
140,Miguel Hidalgo,MX,19.4225,-99.2028,76.93,33,20,4.61,few clouds
141,Mogadishu,SO,2.0371,45.3438,81.88,77,82,14.43,broken clouds
142,Ossora,RU,59.2353,163.0719,21.16,97,100,4.12,overcast clouds
143,Ballina,AU,-28.8667,153.5667,71.56,87,75,11.5,broken clouds
144,Macroom,IE,51.9,-8.95,48.27,75,79,5.44,broken clouds
145,Tiksi,RU,71.6872,128.8694,-12.14,100,88,1.61,overcast clouds
146,Araouane,ML,18.9048,-3.5265,92.26,11,7,10.76,clear sky
147,Odweyne,SO,9.4092,45.064,76.17,43,100,8.84,overcast clouds
148,Uruzgan,AF,32.8333,66.0,67.17,22,0,2.55,clear sky
149,Libreville,GA,0.3925,9.4537,81.14,86,64,12.5,light rain
150,Herat,AF,34.5,62.0,70.88,34,12,8.59,few clouds
151,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,90,100,20.54,overcast clouds
152,Sambava,MG,-14.2667,50.1667,77.83,90,100,9.04,light rain
153,Flin Flon,CA,54.7682,-101.865,39.04,60,20,5.75,few clouds
154,Kaitangata,NZ,-46.2817,169.8464,53.01,62,76,14.5,broken clouds
155,Denpasar,ID,-8.65,115.2167,78.46,94,40,2.3,scattered clouds
156,Mehamn,NO,71.0357,27.8492,35.51,93,99,23.0,light rain
157,Adrar,MR,20.5022,-10.0711,81.63,15,0,11.07,clear sky
158,Vao,NC,-22.6667,167.4833,79.63,83,86,34.11,moderate rain
159,Maceio,BR,-9.6658,-35.7353,80.04,83,75,5.75,broken clouds
160,Henties Bay,NA,-22.116,14.2845,61.95,82,0,6.06,clear sky
161,Port Elizabeth,ZA,-33.918,25.5701,59.29,75,0,14.97,clear sky
162,Chokurdakh,RU,70.6333,147.9167,-22.76,93,67,4.16,broken clouds
163,Pacific Grove,US,36.6177,-121.9166,88.39,30,0,4.61,clear sky
164,Xining,CN,36.6167,101.7667,48.4,24,100,2.66,overcast clouds
165,Okakarara,NA,-20.5833,17.4333,73.29,32,48,6.08,scattered clouds
166,Boa Vista,BR,2.8197,-60.6733,93.18,43,75,8.05,broken clouds
167,Dukat,RU,62.55,155.55,3.99,92,100,3.8,overcast clouds
168,Constitucion,CL,-35.3333,-72.4167,66.4,67,18,16.8,few clouds
169,Leira,ES,43.1167,-8.4,55.06,78,100,11.21,overcast clouds
170,Pasighat,IN,28.0667,95.3333,66.87,88,100,7.49,overcast clouds
171,College Station,US,30.628,-96.3344,71.47,22,0,16.11,clear sky
172,Murgab,TM,37.4966,61.9714,67.87,49,100,4.61,overcast clouds
173,Waitati,NZ,-45.75,170.5667,56.8,50,100,11.01,overcast clouds
174,Saint-Prosper,CA,46.2117,-70.4811,46.69,73,99,11.68,overcast clouds
175,Nemuro,JP,43.3236,145.575,31.86,93,100,10.74,snow
176,Ariquemes,BR,-9.9133,-63.0408,86.72,64,87,3.78,light rain
177,Luorong,CN,24.4058,109.6086,67.24,53,0,3.36,clear sky
178,Eureka,US,40.8021,-124.1637,73.2,67,99,3.0,overcast clouds
179,Severo-Kurilsk,RU,50.6789,156.125,26.85,83,100,7.09,overcast clouds
180,Luderitz,NA,-26.6481,15.1594,68.02,50,63,19.46,broken clouds
181,Kuytun,RU,54.3419,101.5036,33.22,79,45,10.38,scattered clouds
182,Pochutla,MX,15.7432,-96.4661,88.83,39,100,10.33,overcast clouds
183,Aklavik,CA,68.2191,-135.0107,21.2,63,75,4.61,broken clouds
184,Oskemen,KZ,49.9565,82.6119,40.96,93,100,2.24,light rain
185,Zagreb,HR,45.8131,15.9775,61.02,44,0,11.5,clear sky
186,Okhotsk,RU,59.3833,143.3,16.54,91,100,8.88,overcast clouds
187,Muros,ES,42.7762,-9.0603,58.08,85,100,18.99,overcast clouds
188,Rosetta,EG,31.4044,30.4164,72.93,47,100,9.93,overcast clouds
189,Bartica,GY,6.4,-58.6167,79.12,85,42,5.37,scattered clouds
190,Turukhansk,RU,65.8167,87.9833,6.28,97,21,5.03,few clouds
191,Lalibela,ET,12.0333,39.0333,63.05,29,68,10.69,broken clouds
192,Torbat-E Jam,IR,35.244,60.6225,70.7,37,100,7.81,overcast clouds
193,Tuatapere,NZ,-46.1333,167.6833,52.72,80,100,12.82,overcast clouds
194,Pervomayskoye,RU,43.919,46.7102,48.29,60,95,16.28,overcast clouds
195,Saldanha,ZA,-33.0117,17.9442,59.05,71,5,24.4,clear sky
196,Atar,MR,20.5169,-13.0499,82.45,28,0,9.22,clear sky
197,Cidreira,BR,-30.1811,-50.2056,71.47,84,100,10.04,overcast clouds
198,Sri Aman,MY,1.2376,111.4621,73.45,100,93,2.3,overcast clouds
199,Lompoc,US,34.6391,-120.4579,90.7,32,0,3.44,haze
200,Olafsvik,IS,64.8945,-23.7142,29.52,67,100,3.04,overcast clouds
201,Aasiaat,GL,68.7098,-52.8699,13.8,85,100,1.41,overcast clouds
202,Kropotkin,RU,45.4375,40.5756,51.48,69,0,12.66,clear sky
203,Dicabisagan,PH,17.0818,122.4157,75.27,92,63,4.68,broken clouds
204,Kupang,ID,-10.1667,123.5833,77.36,87,100,4.74,overcast clouds
205,Loviisa,FI,60.4566,26.2251,32.29,99,100,5.32,light snow
206,Veraval,IN,20.9,70.3667,84.07,53,22,12.48,few clouds
207,Egvekinot,RU,66.3167,-179.1667,-8.64,96,100,1.52,overcast clouds
